装备名称,被动技能名称,被动技能描述,被动技能cd
名刀·司命,暗幕,"受到致命伤害不会死亡, 无敌并增加30%移速，持续1s(远程英雄0.5s)",120
影刃,暴风,"普攻伤害提升40点,暴击后增加20%攻速和5%移速, 持续3s",0
冰霜冲击,冰甲,"当自身受到除压制以外的硬控后, 获得12%最大生命值的护盾, 持续5s",15
凛冬,冰甲,"当自身受到除压制以外的硬控后, 获得12%最大生命值的护盾, 持续5s",15
极寒风暴,冰心,"受到单次伤害超过当前生命值10%时, 向敌人发射寒冰冲击, 对范围内敌人造成100~240点法术伤害, 降低范围内敌人15%攻速和30%移速,持续2s",2
日冕,残废,"技能对首个命中的英雄10%减速,持续3s",8
纯净苍穹,残废,"技能对首个命中的英雄30%减速,并使其对自己伤害降低20%持续3s",8
暗影战斧,残废,"技能对首个命中的英雄10%减速,持续3s",8
天穹,残废,"技能对首个命中的英雄30%减速,并使其对自己伤害降低20%持续3s",8
沐光斗篷,初光,"使用技能或普攻对敌方英雄造成伤害时, 为自身和附近生命值最低的友方英雄提供120~260+2%最大生命值的护盾, 持续3s",10
旭日初光,初光,"使用技能或普攻对敌方英雄造成伤害时, 为自身和附近生命值最低的友方英雄提供250~530+4%最大生命值的护盾, 持续3s",10
闪电匕首,电弧,"普攻额外造成40~82点法术伤害, 每三次普攻会释放一次连锁闪电, 造成140~420法术伤害",0
凝冰之息,冻伤,技能对于移速受损(低于人物初始移速)的目标额外造成120~400法术伤害,5
魔道之石,法力波,技能命中后额外造成200点法术伤害,5
炽热支配者,法力护盾,"血量低于30%时立刻解除自身控制, 同时获得一个吸收(500+150%法术攻击)伤害的护盾, 护盾持续期间提升30%移速, 持续4s",90
圣杯,法力源泉,"每秒恢复1.5%最大法力, 如果法力已满, 每秒恢复1%最大生命",0
秘法之靴,法术精通,提升100法术穿透,0
反伤刺甲,反刺,"2s内受到物理伤害超过2000时,发出刺击,对范围400内的敌人造成8%最大生命的法术伤害",3
影忍之足,防护,减少10%受到的物理伤害,0
贤者的庇护,复生,"死亡后2s内原地复活,并获得2100~3500点生命, 该效果每局游戏最多触发2次",150
霸者重装,复苏,"每秒恢复0.5%最大生命, 3s内没有受到敌方英雄或防御塔攻击时每秒恢复1%最大生命",0
寒霜侵袭,寒霜,"普攻命中目标减少3%移速,持续2s,可以叠加五层, 叠满后对目标的普攻法球会额外造成30%伤害",0
守护者之铠,寒铁,"受到伤害后, 减少攻击者15%攻速, 持续3s",0
不祥征兆,寒铁,"受到伤害后, 减少攻击者45%攻速与10%移速, 持续3s",0
制裁之刃,回魂,"自身生命值低于30%时,5s内累计回复400~610点生命",20
泣血之刃,回魂,"自身生命值低于30%时,5s内累计回复400~610点生命",20
回响之杖,回响,"技能命中会触发小范围爆炸, 造成120+40%法术攻击的法术伤害",5
博学者之怒,毁灭,增加30%法术攻击,0
抵抗之靴,坚韧,获得25%韧性,0
游击弯刀,奖赏,"自己或700范围内友方击杀野怪或增加自身6点法术攻击, 可叠加15层",0
巡守利斧,奖赏,"自己或700范围内友方击杀野怪或增加自身30点最大生命, 可叠加15层",0
追击刀锋,奖赏,"自己或700范围内友方击杀野怪或增加自身3点物理攻击, 可叠加15层",0
符文大剑,奖赏,"自己或700范围内友方击杀野怪或增加自身6法术攻击和0.2%冷却, 可叠加25层",0
巨人之握,奖赏,"自己或700范围内友方击杀野怪或增加自身30点最大生命和0.2%冷却, 可叠加25层",0
贪婪之噬,奖赏,"自己或700范围内友方击杀野怪或增加自身3点物理攻击和0.2%冷却, 可叠加25层",0
极影,奖赏,"增加200~400最大生命, 20~40主攻属性(1物理攻击或2法术攻击)",0
近卫,奖赏,"增加200~400最大生命, 20~40主攻属性(1物理攻击或2法术攻击)",0
极影·救赎,奖赏,"增加300~600最大生命, 32~60主攻属性(1物理攻击或2法术攻击)",0
极影·星泉,奖赏,"增加300~600最大生命,32~60主攻属性(1物理攻击或2法术攻击)",0
极影·奔狼,奖赏,"增加300~600最大生命, 32~60主攻属性(1物理攻击或3法术攻击)",0
极影·形昭,奖赏,"增加300~600最大生命,32~60主攻属性(1物理攻击或2法术攻击)",0
近卫·救赎,奖赏,"增加300~600最大生命, 32~60主攻属性(1物理攻击或2法术攻击)",0
近卫·星泉,奖赏,"增加300~600最大生命,32~60主攻属性(1物理攻击或2法术攻击)",0
近卫·奔狼,奖赏,"增加300~600最大生命, 32~60主攻属性(1物理攻击或2法术攻击)",0
近卫·形昭,奖赏,"增加300~600最大生命,32~60主攻属性(1物理攻击或2法术攻击)",0
反伤刺甲,荆棘,"以法术伤害的形式将受到伤害的25%回敬给对方(伤害随攻击者距离衰减, 至距离800时衰减至70%)",0
寒霜侵袭,精准,普攻额外造成60~130物理伤害,0
速击之枪,精准,普攻伤害提升40点,0
逐日之弓,精准,普攻伤害提升50点(远程英雄翻倍),0
日渊,精准,普攻伤害提升50点(远程英雄翻倍),0
金色圣剑,精准,普攻伤害提升60点,0
日暮之流,净魔,"对英雄造成伤害会获得16~30点法术穿透, 持续4s, 最多叠加10层",0
破茧之衣,净魔,"获得7%额外生命值的法术穿透, 不超过175点",0
冷静之靴,静谧,加速召唤师技能15%冷却速度,0
贤者之书,刻印,"每增加100点法力攻击可以提升0.8%增伤比例, 最多增伤比例提高至12%",0
血魔之怒,狂怒,"普通攻击额外附带2%最大生命的物理伤害, 自身生命低于50%伤害提升50%",0
怒魂,狂怒,"普通攻击额外附带2%最大生命的物理伤害, 自身生命低于50%伤害提升75%",0
魔女斗篷,迷雾,脱战后立即获得100~1500点法术伤害护盾,0
凝冰之息,凝冰,英雄技能造成伤害会附带20%的减速效果，持续2s,0
末世,破败,"普攻额外造成目标8%生命值的物理伤害, 野怪上限80点",0
云灵木,破法,增加60法术穿透,0
碎星锤,破甲,增加40%物理穿透,0
破晓,破甲,增加15%物理穿透(远程英雄效果翻倍),0
破茧之衣,破茧,"获得4%额外生命值的法术攻击, 不超过100点",0
破军,破军,对生命值低于50%的敌人额外造成30%伤害,0
虚无法杖,破灭,增加45%法术穿透,0
破魔刀,破魔,"获得60%物理攻击的法术防御, 不超过300",0
破晓,破晓,普攻伤害提升50点(远程英雄翻倍),0
急速战靴,普攻提升,"近战英雄每次普攻恢复30生命, 远程英雄每次普攻恢复40生命,对非英雄单位减半",0
宗师之力,强击,"使用技能后, 2s内提升12%移动速度, 并使5s内下次普攻造成额外造成80%物理攻击的物理伤害",3
光辉之剑,强击,"使用技能后,5s内的下次普攻额外造成50%物理攻击+30%法术攻击的法术伤害",3
巫术法杖,强击,"使用技能后,5s内的下次普攻额外造成30%物理攻击+70%法术攻击的法术伤害",3
冰痕之握,强击,"使用技能后,5s内的下次普攻额外造成140~420的物理伤害, 并减少30%移速(远程英雄为20%),持续0.5s",1.2
陨星,切割,增加60物理穿透,0
暗影战斧,切割,增加68~180物理穿透,0
铸梦·逐风,切割,"普攻命中后增加45~90物理穿透,持续3s, 最多叠加两层",0
怒龙剑盾,神力,普攻对敌方英雄和防御塔造成3%最大生命的物理伤害(远程英雄减半),2.5
影忍之足,神速,增加60移动速度,0
抵抗之靴,神速,增加60移动速度,0
冷静之靴,神速,增加60移动速度,0
秘法之靴,神速,增加60移动速度,0
急速战靴,神速,增加60移动速度,0
疾步之靴,神速,增加60移动速度,0
疾步之靴,神行,脱战后增加50移速,0
金色圣剑,圣剑,"普攻命中敌人会获得10%攻速, 持续5s, 最多可以叠加两层, 叠满后, 普攻会额外附带30%法术攻击点法术伤害",0.2
血族之书,嗜血,增加20%法术吸血,0
噬神之书,嗜血,增加25%法术吸血,0
暗夜小甲,守护,"在3s内受到超过40%最大生命的伤害时, 会在接下来的3s内累计回复40+4%最大生命的生命",7
永夜守护,守护,"在3s内受到超过30%最大生命的伤害时, 会在接下来的3s内累计回复320+8%最大生命值的生命",7
近卫,守护光环,"增加自身36~72物理防御,法术防御和0.4%最大生命值的每5s回血, 并对800范围内友方造成上述50%效果",0
近卫·救赎,守护光环,"增加自身65~130物理防御,法术防御和0.6%最大生命值的每5s回血, 并对800范围内友方造成上述50%效果",0
近卫·星泉,守护光环,"增加自身65~130物理防御,法术防御和0.6%最大生命值的每5s回血, 并对800范围内友方造成上述50%效果",0
近卫·奔狼,守护光环,"增加自身65~130物理防御,法术防御和0.6%最大生命值的每5s回血, 并对800范围内友方造成上述50%效果",0
近卫·形昭,守护光环,"增加自身65~130物理防御,法术防御和0.6%最大生命值的每5s回血, 并对800范围内友方造成上述50%效果",0
狩猎宽刀,狩猎,"普攻/技能命中野怪后对其每0.5s造成70~140点法术伤害(远程英雄减半),持续2s",0
游击弯刀,狩猎,"普攻/技能命中野怪后对其每0.5s造成70+25%法术攻击的法术伤害(远程英雄减半),命中英雄后对上述效果生效10%,持续2s",0
巡守利斧,狩猎,"普攻/技能命中野怪后对其每0.5s造成60+4%额外生命的真实伤害(远程英雄减半),命中英雄后对上述效果生效10%,持续2s",0
追击刀锋,狩猎,"普攻/技能命中野怪后对其每0.5s造成70+40%额外攻击的物理伤害(远程英雄减半),命中英雄后对上述效果生效10%,持续2s",0
符文大剑,狩猎,"普攻/技能命中野怪后对其每0.5s造成90+30%法术攻击的法术伤害(远程英雄减半),命中英雄后对上述效果生效20%,持续2s",0
巨人之握,狩猎,"普攻/技能命中野怪后对其每0.5s造成75+5%额外生命的真实伤害(远程英雄减半),命中英雄后对上述效果生效20%,持续2s",0
贪婪之噬,狩猎,"普攻/技能命中野怪后对其每0.5s造成90+60%额外攻击的物理伤害(远程英雄减半),命中英雄后对上述效果生效20%,持续2s",0
铸梦·破空,碎甲,"普攻和技能命中后会降低目标10%物理防御,持续2s",0
霸者重装,天命,提高4%最大生命,0
神速之靴,唯一被动,增加30移动速度,0
无尽战刃,无尽,"获得20%暴击效果,每2%暴击增加1%暴击效果, 最多不超过50%",0
暴烈之甲,无畏,"受到伤害后, 自己增加2%伤害和1%移速, 持续3s, 可叠加5层",0
不死鸟之眼,血统,"每损失10%生命, 生命恢复效果增加6%",0
极影,迅捷光环,"增加12%攻速,9%冷却缩减和12每5s回蓝, 对800范围内友方造成上述50%效果",0
极影·救赎,迅捷光环,"增加20%攻速,15%冷却缩减和20每5s回蓝, 对800范围内友方造成上述50%效果",0
极影·星泉,迅捷光环,"增加20%攻速,15%冷却缩减和20每5s回蓝, 对800范围内友方造成上述50%效果",0
极影·奔狼,迅捷光环,"增加20%攻速,15%冷却缩减和20每5s回蓝, 对800范围内友方造成上述50%效果",0
极影·形昭,迅捷光环,"增加20%攻速,15%冷却缩减和20每5s回蓝, 对800范围内友方造成上述50%效果",0
熔炼之心,业炎,每秒灼烧400范围内的敌人并造成1%最大生命的法术伤害(对野怪小兵造成双倍伤害),0
红莲斗篷,业炎,每秒灼烧400范围内的敌人并造成1.5%最大生命的法术伤害(对野怪小兵造成双倍伤害),0
进化水晶,英勇奖赏,英雄升级后3s内回复20%最大生命与最大法力,0
时之预言,英勇奖赏,英雄升级后3s内回复20%最大生命与最大法力,0
学识宝石,游击,"每3s增加自身5经验, 若自身经济处于最后两名, 则增加自身5金币, 否则增加队伍中经济最低英雄5金币",0
极影,游击,"每3s增加自身5经验,增加队伍中经济最低英雄5金币",0
近卫,游击,"每3s增加自身5经验,增加队伍中经济最低英雄5金币",0
极影·救赎,游击,"每3s增加自身6经验,增加队伍中经济最低英雄6金币",0
极影·星泉,游击,"每3s增加自身6经验,增加队伍中经济最低英雄6金币",0
极影·奔狼,游击,"每3s增加自身6经验,增加队伍中经济最低英雄6金币",0
极影·形昭,游击,"每3s增加自身6经验,增加队伍中经济最低英雄6金币",0
近卫·救赎,游击,"每3s增加自身6经验,增加队伍中经济最低英雄6金币",0
近卫·星泉,游击,"每3s增加自身6经验,增加队伍中经济最低英雄6金币",0
近卫·奔狼,游击,"每3s增加自身6经验,增加队伍中经济最低英雄6金币",0
近卫·形昭,游击,"每3s增加自身6经验,增加队伍中经济最低英雄6金币",0
时之预言,预言,"获得40%法术攻击的物理防御和法术防御, 不超过230点",0
魔女斗篷,御魔,获得8~120点法术防御,0
痛苦面具,折磨,技能命中目标在3s内收到4次3%当前生命的法术伤害(伤害对野怪上限200点),3
瑞鳞拳刃,重创,"普攻对兵线和野怪造成4.5%最大生命的物理伤害, 同时恢复伤害效果50%的生命(远程攻击减半)",2.5
怒龙剑盾,重创,"普攻对兵线和野怪造成6%最大生命的物理伤害, 同时恢复伤害效果50%的生命(远程攻击减半)",2.5
制裁之刃,重伤,"普攻/技能命中敌人后降低其生命恢复和吸血35%,持续2.5s",0
梦魇之牙,重伤,"普攻/技能命中敌人后降低其生命恢复和吸血35%,持续2.5s",0
红莲斗篷,重伤,"普攻/技能命中敌人后降低其生命恢复和吸血35%,持续2.5s",0
铸梦·逐风,逐风,"使用技能后, 下3次普攻获得35%攻速",3
